PROFUNDIDADE_M,GR,RT,NPHI,RHOB,CONFIANCA_FORCE,LITOLOGIA_CODIGO_FORCE,LITOLOGIA_REFERENCIA,VCL,PHIE,PHID,PHI_ND_EXEMPLO_SLIDE,SW_ARCHIE_BRUTA,SW,SW_ACIMA_1,SH,BVW,AVALIAVEL,POTENCIAL,CLASSE
98.804000854,11.992199898,19.468799591,,,,,Não identificada,0.0,,,,,,False,,,False,False,Sem dados suficientes
98.956000854,12.989593506,19.468799591,,,,,Não identificada,0.0,,,,,,False,,,False,False,Sem dados suficientes
99.108000854,13.784906387,19.468799591,,,,,Não identificada,0.0,,,,,,False,,,False,False,Sem dados suficientes
99.260000854,14.269589424,19.468799591,,,,,Não identificada,0.0,,,,,,False,,,False,False,Sem dados suficientes
99.412000854,13.484945297,19.468799591,,,,,Não identificada,0.0,,,,,,False,,,False,False,Sem dados suficientes
99.564000854,12.697860718,19.468799591,,,,,Não identificada,0.0,,,,,,False,,,False,False,Sem dados suficientes
99.716000854,14.456123352,19.468799591,,,,,Não identificada,0.0,,,,,,False,,,False,False,Sem dados suficientes
99.868000854,15.496634483,19.468799591,,,,,Não identificada,0.0,,,,,,False,,,False,False,Sem dados suficientes
100.02000085,16.29576683,19.468799591,,,,,Não identificada,0.0,,,,,,False,,,False,False,Sem dados suficientes
100.17200085,15.15308857,19.468799591,,,,,Não identificada,0.0,,,,,,False,,,False,False,Sem dados suficientes
100.32400085,15.178263664,19.468799591,,,,,Não identificada,0.0,,,,,,False,,,False,False,Sem dados suficientes
100.47600085,14.428625107,19.468799591,,,,,Não identificada,0.0,,,,,,False,,,False,False,Sem dados suficientes
100.62800085,14.618105888,19.468799591,,,,,Não identificada,0.0,,,,,,False,,,False,False,Sem dados suficientes
100.78000085,12.082055092,19.468799591,,,,,Não identificada,0.0,,,,,,False,,,False,False,Sem dados suficientes
100.93200085,11.984686852,19.468799591,,,,,Não identificada,0.0,,,,,,False,,,False,False,Sem dados suficientes
101.08400085,12.186992645,19.468799591,,,,,Não identificada,0.0,,,,,,False,,,False,False,Sem dados suficientes
101.23600085,12.958732605,19.468799591,,,,,Não identificada,0.0,,,,,,False,,,False,False,Sem dados suficientes
101.38800085,12.730912209,19.468799591,,,,,Não identificada,0.0,,,,,,False,,,False,False,Sem dados suficientes
101.54000085,12.755953789,19.468799591,,,,,Não identificada,0.0,,,,,,False,,,False,False,Sem dados suficientes
101.69200085,13.982682228,19.468799591,,,,,Não identificada,0.0,,,,,,False,,,False,False,Sem dados suficientes
101.84400085,13.573134422,19.468799591,,,,,Não identificada,0.0,,,,,,False,,,False,False,Sem dados suficientes
101.99600085,13.805241585,19.468799591,,,,,Não identificada,0.0,,,,,,False,,,False,False,Sem dados suficientes
102.14800085,13.599431992,19.468799591,,,,,Não identificada,0.0,,,,,,False,,,False,False,Sem dados suficientes
