,GR,GR,GR,GR,GR,RT,RT,RT,RT,RT,NPHI,NPHI,NPHI,NPHI,NPHI,RHOB,RHOB,RHOB,RHOB,RHOB,PHIE,PHIE,PHIE,PHIE,PHIE,SW,SW,SW,SW,SW
,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max
LITOLOGIA_REFERENCIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arenito,4400,33.74619559353318,9.697971208082194,12.030887604,104.08720398,4400,0.7943976952438182,0.5710977843702645,0.246183157,6.635322094,4400,0.33798487699527274,0.09976026251526787,0.093635641,0.6589936018,4400,2.1398844099035905,0.18531533244396045,1.3968189955,2.7734000683,4400,0.3226473301527655,0.09699338102396995,0.08624597794226217,0.6229204674162463,4400,0.9371626648166264,0.11783912034718406,0.23295404959110994,1.0
Arenito/folhelho,6468,60.10633356746197,11.820212211973928,17.026786804,170.77522278,6468,0.9405734320145486,0.48656309461933117,0.2472321242,11.451792717,6468,0.4577311255970315,0.08374989296014541,0.1187114343,0.6602764726,6468,2.0451834926319266,0.1623870589182025,1.4875525236,2.9038183689,6468,0.3415963088287775,0.07242443983603654,0.0,0.5675057157824593,6467,0.933905833802521,0.10605916052240559,0.22125423845953782,1.0
Calcário,1699,20.870324914781282,11.522183084159083,6.342400074,79.858558655,1699,3.4027569779148323,1.8489277201254506,0.4548061788,12.165350914,1699,0.179979437824485,0.08684883308024635,0.0543792807,0.5482017994,1699,2.486111703026427,0.1297126767214294,1.651107192,2.6631896496,1699,0.1732542423631309,0.06965722459023894,0.0543792807,0.5182625483860729,1699,0.9835800149181975,0.04753901069816536,0.6436227784317857,1.0
Carvão,84,40.03463712184524,17.54326490507032,11.012213707,106.78359985,84,58.55380172703929,163.6535467679836,1.54383564,1224.1386719,84,0.5348621017869049,0.0764348997226006,0.2763022482,0.6403082013,84,1.6101191852761905,0.26486590059609116,1.372335434,2.3962833881,84,0.48048131213573403,0.09781841932315466,0.19135244334884055,0.6154026985,84,0.2300690653458713,0.18538522655656264,0.016566735908164112,0.8490332514068826
Folhelho,6123,76.35460073752573,27.99098008362055,25.512056351,446.89071655,6178,1.5248324855671413,0.9625550674191267,0.4074341357,9.4914016724,6178,0.43999887891327294,0.08220451020160188,0.1190699786,0.7062469125,6178,2.121007913947378,0.15532343964589457,1.526414752,2.8789000511,6123,0.2784172038365528,0.08713016030555988,0.0,0.5496337479598464,5883,0.8996493831477429,0.11991775310047692,0.2872823734177293,1.0
Giz calcário,625,13.114626312260802,2.8323842837593154,7.1765017509,24.320978165,625,5.8526216911352,1.866862753211464,1.2367199659,11.682473183,625,0.11630361691056,0.03012340109327838,0.0471199565,0.2387669235,625,2.55964169426192,0.04109385901558541,2.3761377335,2.6776099205,625,0.11630361691056,0.03012340109327838,0.0471199565,0.2387669235,625,0.9934889889013573,0.0298410686322538,0.6743934546626085,1.0
Marga,649,34.90347754386595,10.631829691353675,11.718209267,69.401908875,649,2.804537096633436,1.2617454026541244,0.493830502,7.4773926735,649,0.18403052234360553,0.05903144747592401,0.086551711,0.3677077889,649,2.4676961156722648,0.1467922300263186,1.8246958256,2.6491951942,649,0.1716389585404535,0.05138953161320357,0.086551711,0.3304797128270013,649,0.9863283832652121,0.039370063959453985,0.743850786115268,1.0
Não identificada,2521,53.57657530420349,27.933772015806287,9.1895313263,108.33364868,2523,2.8704595689674197,4.206892592601423,0.3560086787,19.468799591,27,0.2940111237851852,0.10309722625037633,0.2196329683,0.5854779482,27,2.3750874819703705,0.19023980927968417,1.9335079193,2.5111124516,10,0.33951698131122404,0.08249622075960798,0.2196329683,0.45507338520305174,10,0.6647959232725382,0.15454939552204208,0.5007137731796145,0.9439279874662578
Tufo,233,45.66404312363519,13.382297080180068,21.429327011,81.664077759,233,0.816643877988412,0.13125077333822768,0.4986042678,1.160836935,233,0.3914676169218884,0.03399621104905515,0.3105489612,0.4991458058,233,2.2539203975313304,0.05284113811348369,2.0905013084,2.399671793,233,0.33805995253594856,0.04218837297786247,0.22680513726014975,0.4430493712,233,0.9646840775643295,0.05771311381129358,0.7246338801283221,1.0
