PROFUNDIDADE_M,GR_AUSENTE_ORIGINAL,GR_INVALIDO_FISICO,GR_EXTREMO_IQR,GR_INTERPOLADO,RT_AUSENTE_ORIGINAL,RT_INVALIDO_FISICO,RT_EXTREMO_IQR,RT_INTERPOLADO,NPHI_AUSENTE_ORIGINAL,NPHI_INVALIDO_FISICO,NPHI_EXTREMO_IQR,NPHI_INTERPOLADO,RHOB_AUSENTE_ORIGINAL,RHOB_INVALIDO_FISICO,RHOB_EXTREMO_IQR,RHOB_INTERPOLADO
98.804000854,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
98.956000854,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
99.108000854,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
99.260000854,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
99.412000854,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
99.564000854,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
99.716000854,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
99.868000854,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
100.02000085,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
100.17200085,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
100.32400085,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
100.47600085,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
100.62800085,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
100.78000085,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
100.93200085,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
101.08400085,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
101.23600085,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
101.38800085,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
101.54000085,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
101.69200085,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
101.84400085,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
101.99600085,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
102.14800085,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
102.30000085,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
102.45200085,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
102.60400085,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
102.75600085,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
102.90800085,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
103.06000085,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
103.21200085,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
103.36400085,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
103.51600085,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
103.66800085,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False
